frequency_Hz,ai0,ai1,ai2,ai3,ai4,ai5,avg,abs_area
,,,,,,,,
100,4.59899434,4.385541228,5.581026524,4.151563116,5.857902215,4.408439671,4.830577849,28.03762941
,,,,,,,,
125,4.714744337,4.225785247,4.95913299,4.637466243,4.490093162,5.664992934,4.782035819,29.34498778
,,,,,,,,
160,5.430391859,4.702044135,4.881822539,4.045840466,5.234727159,4.97627604,4.878517033,27.76211501
,,,,,,,,
200,5.535452634,5.638884408,5.853908989,5.45193618,5.288594311,6.005351349,5.629021312,24.06065683
,,,,,,,,
250,5.393387586,5.451555744,5.657323742,5.662941183,5.282416612,5.307497645,5.459187086,24.80917891
,,,,,,,,
315,5.82721953,5.973901141,6.427178114,5.737944783,6.259216563,6.209243685,6.072450636,22.30367195
,,,,,,,,
400,5.618918949,5.660515675,5.935546933,5.567711571,5.829850984,6.15744154,5.794997609,23.37152719
,,,,,,,,
500,5.197630197,5.580261721,5.202827214,5.178931031,5.498696023,5.24175216,5.316683058,25.4741423
,,,,,,,,
630,4.913141431,4.842730912,5.157494889,5.179843322,5.044038009,4.981853274,5.019850306,26.98047291
,,,,,,,,
800,4.920754526,4.933733729,5.043804396,4.882852187,4.618257082,5.062590545,4.910332078,27.58223342
,,,,,,,,
1000,4.755811885,5.193547794,4.597970115,4.905594965,4.82138344,4.664590685,4.823149814,28.08080126
,,,,,,,,
1250,4.9287397,4.683500691,4.648891618,4.760499188,4.740656937,4.656708341,4.736499412,28.59451207
,,,,,,,,
1600,4.505068683,4.530041771,4.360269031,4.618066051,4.439808748,4.653207585,4.517743645,29.97909248
,,,,,,,,
2000,3.660400699,3.735843555,3.796685818,3.842144931,3.773829476,3.650625725,3.743255034,36.18183228
,,,,,,,,
2500,3.569350912,3.350934917,3.448489749,3.377744891,3.474859407,3.361714923,3.4305158,39.4802937
,,,,,,,,
3150,2.801803155,2.847391646,2.930265669,2.961273184,2.931026401,2.762949795,2.872451642,47.15056291
,,,,,,,,
4000,2.491365996,2.495356257,2.572357038,2.480823056,2.564496599,2.592220007,2.532769825,53.47410932
,,,,,,,,
5000,2.212927473,2.244078695,2.301677009,2.205851487,2.249210455,2.258690872,2.245405998,60.31759026
,,,,,,,,
,% RH,Temp degC,Pressure (kPa),,,,,
,,,,,,,,
empty1,60,19.9,101,,,,,
